sample	chao1	shannon	simpson
SP.Fe.Su.a.1	228	3.944944873	0.79759187
SP.Fe.Su.a.2	144	3.319055588	0.73816826
SP.Fe.Su.B.1	113	2.361672138	0.67492162
SP.Fe.Su.B.2	178	3.00008479	0.76056795
SP.Fe.Su.C.1	89	2.819958509	0.72608913
SP.Fe.Su.C.2	105	2.747798552	0.67189692
SP.Fe.Su.Ch.1	105	4.183925353	0.85905173
SP.Fe.Su.Ch.2	113	4.332155229	0.87414801
SP.Fe.Su.Li.1	137	5.142897619	0.94171992
SP.Fe.Su.Li.2	181	5.531176993	0.95682215
SP.Fe.Su.m.1	341	4.469808923	0.86929256
SP.Fe.Su.m.2	229	4.00422128	0.84349851
SP.Fe.Su.NC.1	228	3.939829436	0.84021899
SP.Fe.Su.NC.2	311	4.056320946	0.83761498
SP.Fe.Su.P.1	229	4.512736458	0.90694743
SP.Fe.Su.P.2	218	4.138627703	0.88740896
SP.S.Su.a.1	225	4.234170719	0.84125158
SP.S.Su.a.2	271	4.765527878	0.90423622
SP.S.Su.B.1	45	2.729595449	0.74415184
SP.S.Su.B.2	62	3.606581588	0.87430937
SP.S.Su.C.1	74	3.398828303	0.80566667
SP.S.Su.C.2	88	4.002435682	0.87391218
SP.S.Su.Ch.1	39	2.14859922	0.65863434
SP.S.Su.Ch.2	40	2.121251012	0.63429568
SP.S.Su.Li.1	177	5.760750757	0.96749115
SP.S.Su.Li.2	208	5.784666787	0.96592127
SP.S.Su.m.1	253	4.747209077	0.92410645
SP.S.Su.m.2	348	5.066789426	0.92173551
SP.S.Su.NC.1	199	3.756926013	0.82041671
SP.S.Su.NC.2	217	4.313599614	0.86834595
SP.S.Su.P.1	240	3.521629106	0.73377554
SP.S.Su.P.2	162	3.044936935	0.68151547
SP.SO4.Su.a.1	285	4.627585516	0.87548844
SP.SO4.Su.a.2	315	5.064883456	0.90121896
SP.SO4.Su.B.1	90	3.478223393	0.79300869
SP.SO4.Su.B.2	74	3.537656319	0.78896376
SP.SO4.Su.C.1	105	4.495003078	0.91695091
SP.SO4.Su.C.2	78	4.14278833	0.87472791
SP.SO4.Su.Ch.1	146	4.710532352	0.90684472
SP.SO4.Su.Ch.2	151	4.72275308	0.91683145
SP.SO4.Su.Li.1	165	5.687034495	0.96020851
SP.SO4.Su.Li.2	140	5.594765455	0.95632759
SP.SO4.Su.m.1	249	4.358840036	0.8708706
SP.SO4.Su.m.2	294	4.562586672	0.86391095
SP.SO4.Su.NC.1	366	5.478733216	0.937828
SP.SO4.Su.NC.2	349	5.451133879	0.92897433
SP.SO4.Su.P.1	85	2.366139854	0.54431386
SP.SO4.Su.P.2	117	2.48929005	0.55468609
