kingdom	phylum	class	order	family	genus	MeanRelAbund	niche_breadth	category	colorcode
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	-2.776263405	11.19704933	generalist	Anaerolineales
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	-3.0236462	11.21824433	generalist	Anaerolineales
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	-1.935072824	11.75079267	generalist	Anaerolineales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_Rs-E47 	Bacteroidales_Rs-E47 	-3.816695909	1.136694472	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	-4.152510058	11.6638912	generalist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_S24-7	Bacteroidales_S24-7	-3.679307233	18.20628242	generalist	Bacteroidales
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	-3.369244571	9.251167546	generalist	Campylobacterales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_XI	Tissierella	-4.983206205	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 7	-4.78862082	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 6	-4.673378362	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	-3.618993683	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Gracilibacteraceae	-3.402648906	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Sporotomaculum	-3.295475749	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophomonadaceae	-3.28720998	1.028999128	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_XII	Acidaminobacter	-3.315657297	1.071462982	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 12	-3.975035275	1.154620199	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_XIII	Clostridiales_XIII	-4.109526883	1.169055313	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	-4.640311958	1.200831601	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	-2.809309815	1.386253475	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4	Clostridiaceae 4	-3.0719704	7.110311824	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	-3.34768449	7.286511432	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_TSAC18	Clostridiales_TSAC18	-3.976129108	8.371337804	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae	-2.194095564	8.728465727	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Gracilibacteraceae	-2.642833555	9.349818591	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcaceae	-2.108858738	9.546656755	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	-1.028185111	10.87971956	generalist	Clostridiales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbaceae_MSBL7	-4.676062281	1	specialist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae	-1.722713997	1.156642223	specialist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae	-3.150656273	1.227715223	specialist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	-1.160461129	7.823175004	generalist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium	-3.524462166	8.634684512	generalist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbaceae_SEEP-SRB2	-4.011105546	9.096502667	generalist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospinaceae	-3.907471877	9.257038853	generalist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae_SEEP-SRB1	-3.301162767	9.392240169	generalist	Desulfobacterales
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales	Acidimicrobiales	-4.879401669	2.886148008	medium	Other
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales	Acidimicrobiales	-5.102970957	3.598639456	medium	Other
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	-4.785260785	3.675540765	medium	Other
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_OM1 clade	Acidimicrobiales_OM1 clade	-3.896163575	5.089780258	medium	Other
Bacteria	Acidobacteria	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	-5.400075561	1.898876404	medium	Other
Bacteria	Acidobacteria	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	Acidobacteria_Subgroup 22	-5.024783465	3.885057471	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp11	Acidobacteria_Subgrp11	Acidobacteria_Subgrp11	-5.708673462	2	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp17	Acidobacteria_Subgrp17	Acidobacteria_Subgrp17	-3.86354575	6.395926238	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp18	Acidobacteria_Subgrp18	Acidobacteria_Subgrp18	-4.680621085	4.438799076	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp2	Acidobacteria_Subgrp2	Acidobacteria_Subgrp2	-5.449929539	2.631578947	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp21	Acidobacteria_Subgrp21	Acidobacteria_Subgrp21	-5.423310248	2.951219512	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp3	Acidobacteria_Subgrp3	Acidobacteria_Subgrp3	-5.198818231	1.528301887	medium	Other
Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_Subgrp3	Acidobacteria_Subgrp3_SJA-149	Acidobacteria_Subgrp3_SJA-149	-5.455481405	1.657534247	medium	Other
