Kingdom	Phylum	Class	Order	Family	Genus	SP.Fe.Su.a.1	SP.Fe.Su.a.2	SP.Fe.Su.B.1	SP.Fe.Su.B.2	SP.Fe.Su.C.1	SP.Fe.Su.C.2	SP.Fe.Su.Ch.1	SP.Fe.Su.Ch.2	SP.Fe.Su.Li.1	SP.Fe.Su.Li.2	SP.Fe.Su.m.1	SP.Fe.Su.m.2	SP.Fe.Su.NC.1	SP.Fe.Su.NC.2	SP.Fe.Su.P.1	SP.Fe.Su.P.2	SP.S.Su.a.1	SP.S.Su.a.2	SP.S.Su.B.1	SP.S.Su.B.2	SP.S.Su.C.1	SP.S.Su.C.2	SP.S.Su.Ch.1	SP.S.Su.Ch.2	SP.S.Su.Li.1	SP.S.Su.Li.2	SP.S.Su.m.1	SP.S.Su.m.2	SP.S.Su.NC.1	SP.S.Su.NC.2	SP.S.Su.P.1	SP.S.Su.P.2	SP.SO4.Su.a.1	SP.SO4.Su.a.2	SP.SO4.Su.B.1	SP.SO4.Su.B.2	SP.SO4.Su.C.1	SP.SO4.Su.C.2	SP.SO4.Su.Ch.1	SP.SO4.Su.Ch.2	SP.SO4.Su.Li.1	SP.SO4.Su.Li.2	SP.SO4.Su.m.1	SP.SO4.Su.m.2	SP.SO4.Su.NC.1	SP.SO4.Su.NC.2	SP.SO4.Su.P.1	SP.SO4.Su.P.2
Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Acetothermia	Acetothermiia	Acetothermiia	Acetothermiia	Acetothermiia	9	8	8	0	0	0	0	0	0	0	62	8	15	14	9	0	4	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	6	13	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	268	98	64	150	0	5	19	8	0	28	425	237	122	405	152	108	261	343	2	7	0	0	0	0	9	14	288	530	141	262	255	125	344	441	8	0	0	0	15	4	11	7	264	197	494	635	21	32
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum	16	0	10	17	0	0	0	0	0	5	55	30	47	75	9	28	12	8	0	0	0	0	0	0	0	0	0	17	0	0	10	11	15	0	4	0	0	0	2	0	0	0	9	9	56	52	0	0
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales_unclass	Vicinamibacterales_unclass	0	0	0	10	0	0	0	0	0	0	0	15	0	0	10	0	0	8	0	0	0	0	0	0	0	0	0	17	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17	21	0	0
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacteria_SB17	Vicinamibacteria_SB17	Vicinamibacteria_SB17	30	15	0	0	0	0	0	0	0	0	64	29	36	29	0	38	0	0	0	0	0	0	0	0	0	0	0	13	0	0	10	4	0	5	0	0	0	0	0	0	0	0	0	9	22	41	0	0
Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinales_unclass	Actinomarinales_unclass	34	31	0	32	0	0	0	0	0	0	105	67	36	122	25	51	10	0	0	0	0	0	0	0	0	0	12	15	7	6	13	13	20	20	0	0	0	0	0	0	0	0	9	14	101	98	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequinaceae_unclass	0	0	0	0	0	0	0	0	39	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	0	0	0	0	0	0	0	0	0	0	42	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
