sample	chao1	shannon	simpson
CR2	493.2777778	2.715036607	0.592622938
CR4	577.1052632	4.724669459	0.857378735
CR13	371.6363636	4.1202198	0.771599032
CR3	607.2727273	5.192456634	0.908238985
CR1	576.4	2.723914547	0.6284257
CR11	604.6153846	4.890868021	0.877796762
CR5	607.0222222	5.399824735	0.898207109
CR12	627	5.444891142	0.905248045
CR8	547	4.897561301	0.838819611
CR9	608.5	6.065351639	0.946734126
CR10	590.2826087	5.85989719	0.929159594
CR6	550.6111111	4.792176632	0.821931865
CR7	401.3	6.569065114	0.959766352
