sample	depth	temp	sulfide	nitrate	sulfate	pH	iron	sodium	manganese	ammonia	sulfate_z	sulfide_z	carbondioxide_d	oxygen_d	methane_x	sulfate_v	temp_v	DOC
CR1	21	8	0.029	0.38	11.57	6.86	1209.2	1.254573803	45478	97	14	0	125.9	2.7	0.00796	11.57	7.5	0.183
CR2	21	8	0.029	0.38	11.57	6.86	1209.2	1.254573803	45478	97	14	0	125.9	2.7	0.00796	11.57	7.5	0.183
CR13	21	8	0.029	0.38	11.57	6.86	1209.2	1.254573803	45478	97	14	0	125.9	2.7	0.00796	11.57	7.5	0.183
CR4	24	8.6	0.424	0.25	15.05	6.77	360.27	1.329281757	11493	229.2	15	0.5	144.8	0.65	0.00848	15.05	8.6	0.26
CR3	24	8.6	0.424	0.25	15.05	6.77	360.27	1.329281757	11493	229.2	15	0.5	144.8	0.65	0.00848	15.05	8.6	0.26
CR11	24	8.6	0.424	0.25	15.05	6.77	360.27	1.329281757	11493	229.2	15	0.5	144.8	0.65	0.00848	15.05	8.6	0.26
CR5	30	7	0.443	0.96	15.47	6.83	179.42	1.278713172	6935	290.9	15	0.8	147.9	0	0.0135	14.7	7.45	0.148
CR12	30	7	0.443	0.96	15.47	6.83	179.42	1.278713172	6935	290.9	15	0.8	147.9	0	0.0135	14.7	7.45	0.148
CR6	45	6.5	1.354	NA	NA	6.89	86.97	1.567869192	4487	502.3	16	1.5	166.1	0	0.0215	14	6.5	0.125
CR7	45	6.5	1.354	NA	NA	6.89	86.97	1.567869192	4487	502.3	16	1.5	166.1	0	0.0215	14	6.5	0.125
CR8	45	6.5	1.354	NA	NA	6.89	86.97	1.567869192	4487	502.3	16	1.5	166.1	0	0.0215	14	6.5	0.125
CR9	52.5	7	1.863	NA	NA	6.9	84.8	1.537542441	4329	611.6	16	2	164.3	0	0.0231	14	7	0.1772
CR10	52.5	7	1.863	NA	NA	6.9	84.8	1.537542441	4329	611.6	16	2	164.3	0	0.0231	14	7	0.1772
