kingdom	phylum	class	order	family	genus	MeanRelAbund	niche_breadth	category	colorcode
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	GWD2-49-16	-3.014828253	3.453040199	generalist	Anaerolineales
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	-3.508874351	3.820019249	generalist	Anaerolineales
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	-2.171649316	4.339967479	generalist	Anaerolineales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	-5.380744734	1	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	-4.059580122	1	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13	-4.430139034	1.047592068	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	FTLpost3	uncultured bacterium	-4.744763832	1.104972376	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	-4.027305309	1.28	specialist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	uncultured	-3.745210884	3.547445255	generalist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	SB-5	uncultured prokaryote	-4.101629978	3.74251497	generalist	Bacteroidales
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	unclassified_Bacteroidetes vadinHA17	-3.141436004	3.821092862	generalist	Bacteroidales
Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	-4.347683312	1.188273265	specialist	Campylobacterales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	[Eubacterium] yurii group	-5.234616699	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	uncultured	-5.125472229	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	uncultured Firmicutes bacterium	-4.892089035	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	-4.800961138	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	-4.717986903	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	-4.499931142	1	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ethanoligenens	-4.374327175	1.14213198	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	-4.432641473	1.1791559	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Parvimonas	-4.978492276	1.198019802	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	[Eubacterium] brachy group	-4.142033763	1.244444444	specialist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NC2004 group	-3.917855422	3.913043478	generalist	Clostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	-3.440577858	4.007147111	generalist	Clostridiales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	-4.68177473	1	specialist	Desulfobacterales
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	unclassified_Desulfobacteraceae	-3.448414317	4.414648381	generalist	Desulfobacterales
Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	uncultured microorganism	uncultured microorganism	-4.528575841	1.470588235	medium	Other
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	-2.930617221	2.49442661	medium	Other
Bacteria	Actinobacteria	RBG-16-55-12	Actinobacteria bacterium RBG_16_55_12	Actinobacteria bacterium RBG_16_55_12	Actinobacteria bacterium RBG_16_55_12	-3.717852419	2.213188799	medium	Other
