Kingdom	Phylum	Class	Order	Family	Genus	CR2	CR4	CR13	CR3	CR1	CR11	CR5	CR12	CR8	CR9	CR10	CR6	CR7
Bacteria	Acetothermia	Acetothermiia	Acetothermiia	Acetothermiia	Acetothermiia	0	0	0	0	0	0	1	0	0	6	1	2	56
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_unclass	Acidobacteriae_unclass	Acidobacteriae_unclass	0	0	0	0	0	0	0	1	1	1	0	1	77
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	10	5	49	1	3	2	3	2	6	15	10	4	0
Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	13	102	417	138	14	177	276	438	783	160	330	380	2419
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae_unclass	0	0	0	0	0	0	0	2	7	7	6	4	44
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	3	7	0	5	4	7	10	14	22	11	14	12	41
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales_unclass	Vicinamibacterales_unclass	0	0	0	0	0	0	0	0	0	1	2	0	53
Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiia_IMCC26	Acidimicrobiia_IMCC26	Acidimicrobiia_IMCC26	5	2	108	5	5	1	0	0	1	3	1	1	48
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacteraceae_marine.g	14	23	471	35	27	44	4	9	0	2	2	2	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae_unclass	5	16	104	19	4	17	0	0	0	5	1	2	109
Bacteria	Actinobacteriota	Actinobacteria	Actinobacteria_PeM15	Actinobacteria_PeM15	Actinobacteria_PeM15	122	66	436	86	125	91	21	21	10	14	14	17	0
Bacteria	Actinobacteriota	Actinobacteria	Actinobacteria_unclass	Actinobacteria_unclass	Actinobacteria_unclass	5	8	36	29	9	27	2	2	0	0	3	0	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriales_unclass	Corynebacteriales_unclass	13	10	8	8	10	14	15	16	6	24	24	4	18
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	0	0	66	0	0	0	0	0	0	0	0	0	193
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthyaceae_hgcI	28	26	170	48	19	48	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	0	0	0	0	0	0	0	0	0	0	0	0	118
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	0	0	110	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthyaceae	39	37	403	62	37	79	2	4	1	4	3	0	19
Bacteria	Actinobacteriota	Actinobacteriota_RBG-16-55	Actinobacteriota_RBG-16-55	Actinobacteriota_RBG-16-55	Actinobacteriota_RBG-16-55	0	0	82	0	0	2	0	0	9	21	22	4	0
Bacteria	Actinobacteriota	Actinobacteriota_unclass	Actinobacteriota_unclass	Actinobacteriota_unclass	Actinobacteriota_unclass	29	32	109	25	13	61	48	83	78	78	114	88	462
Bacteria	Actinobacteriota	Actinobacteriota_WCHB1	Actinobacteriota_WCHB1	Actinobacteriota_WCHB1	Actinobacteriota_WCHB1	11	50	156	84	11	128	193	338	620	136	351	654	1225
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriia_FS118	Coriobacteriia_FS118	Coriobacteriia_FS118	0	0	0	0	0	0	0	0	0	3	1	0	79
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacteraceae_unclass	38	17	80	21	37	18	14	15	8	13	7	7	0
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellales_unclass	Gaiellales_unclass	37	34	160	58	32	63	90	103	98	84	65	61	541
Bacteria	Bacteria_NKB15	Bacteria_NKB15	Bacteria_NKB15	Bacteria_NKB15	Bacteria_NKB15	0	3	0	2	0	3	8	18	21	11	17	19	105
Bacteria	Bacteria_Sva0485	Bacteria_Sva0485	Bacteria_Sva0485	Bacteria_Sva0485	Bacteria_Sva0485	141	114	613	225	111	184	127	165	184	322	223	146	716
Bacteria	Bacteria_TA06	Bacteria_TA06	Bacteria_TA06	Bacteria_TA06	Bacteria_TA06	4	44	29	52	1	41	260	305	306	321	206	234	445
Bacteria	Bacteria_WOR1	Bacteria_WOR1	Bacteria_WOR1	Bacteria_WOR1	Bacteria_WOR1	0	0	0	0	0	0	0	6	58	29	30	37	105
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales_unclass	Bacteroidales_unclass	13	13	48	51	14	37	31	39	36	976	1024	32	159
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae_unclass	1	2	56	14	1	3	0	0	0	1	2	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales_LKC2	Bacteroidales_LKC2	14	6	157	6	15	16	4	12	3	4	2	3	83
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales_SB-5	Bacteroidales_SB-5	76	45	392	58	74	54	26	28	16	19	22	19	2
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2	2	78	0	91	5	138	233	300	218	239	166	193	626
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	11	31	286	45	11	40	35	79	82	48	102	91	70
Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Bacteroidetes_VC2.1_Bac22	Bacteroidetes_VC2.1_Bac22	319	59	732	109	253	71	19	26	2	13	8	7	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidia_unclass	Bacteroidia_unclass	Bacteroidia_unclass	508	413	1486	479	435	456	404	441	208	419	285	161	1237
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacteraceae_BSV13	3	0	83	2	4	0	0	0	2	3	3	0	0
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Cand__Aquirestis	16	21	44	28	13	32	4	5	6	49	17	1	0
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	1	6	70	11	1	11	3	3	1	8	6	4	20
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae	2236	2701	4072	3769	1829	4361	4427	10093	7607	5049	5039	5329	5082
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	644	128	1679	200	502	231	69	92	14	57	39	19	0
